# distance_A^-1 tb_band_1_absolute_eV tb_band_2_absolute_eV tb_band_3_absolute_eV tb_band_4_absolute_eV tb_band_5_absolute_eV tb_band_6_absolute_eV tb_band_7_absolute_eV tb_band_8_absolute_eV tb_band_9_absolute_eV tb_band_10_absolute_eV tb_band_11_absolute_eV tb_band_12_absolute_eV tb_band_13_absolute_eV tb_band_14_absolute_eV tb_band_15_absolute_eV tb_band_16_absolute_eV tb_band_17_absolute_eV tb_band_18_absolute_eV
0.00000000000000e+00 -2.68725715047516e+00 -2.43859074421330e+00 3.40438161341000e+00 3.43018517772796e+00 3.46300902105493e+00 4.65572608887297e+00 4.66398363535205e+00 5.31414315549022e+00 5.33392941972716e+00 5.36517395188411e+00 7.34470807801514e+00 7.34672677397447e+00 3.81182762208122e+01 3.82524630582447e+01 3.84339211073327e+01 3.93919025427811e+01 3.95249245926687e+01 3.96378071031341e+01
1.10617449823440e-02 -2.68661446252342e+00 -2.43808337724604e+00 3.40442958084641e+00 3.43018339381836e+00 3.46309120497118e+00 4.65551828418694e+00 4.66395458393143e+00 5.31433217781057e+00 5.33390827056422e+00 5.36510423022154e+00 7.34439262605697e+00 7.34688736568599e+00 3.81147467677317e+01 3.82497582170191e+01 3.84289417037348e+01 3.93894711111768e+01 3.95219017293066e+01 3.96308109953419e+01
2.21234899646879e-02 -2.68488403889092e+00 -2.43659356557283e+00 3.40460717341113e+00 3.43017916683904e+00 3.46330460270049e+00 4.65494240743979e+00 4.66401141361714e+00 5.31463626222169e+00 5.33384436467478e+00 5.36516248083392e+00 7.34343503240936e+00 7.34741383910750e+00 3.81027862087804e+01 3.82415173954881e+01 3.84154454659212e+01 3.93776971051627e+01 3.95127315166312e+01 3.96145158672774e+01
3.31852349470319e-02 -2.68206921653595e+00 -2.43412043027745e+00 3.40491208274771e+00 3.43017262347460e+00 3.46365211586432e+00 4.65393060947466e+00 4.66422295246305e+00 5.31504977701485e+00 5.33373814343808e+00 5.36535516859765e+00 7.34183936554044e+00 7.34829993089066e+00 3.80821547071642e+01 3.82277351822081e+01 3.83937440268553e+01 3.93561841306596e+01 3.94974288978332e+01 3.95894095278983e+01
4.42469799293758e-02 -2.67817461825382e+00 -2.43066226379584e+00 3.40534034586156e+00 3.43016398449724e+00 3.46413868241239e+00 4.65242325061917e+00 4.66464961066104e+00 5.31556397093832e+00 5.33359036269123e+00 5.36569241226047e+00 7.33961274064247e+00 7.34953461245926e+00 3.80524702473068e+01 3.82084022991679e+01 3.83643383350994e+01 3.93242878373798e+01 3.94760190266314e+01 3.95562881740477e+01
5.53087249117198e-02 -2.67320606985611e+00 -2.42621655776636e+00 3.40588633201917e+00 3.43015356428013e+00 3.46477126784043e+00 4.65039223958397e+00 4.66532004876890e+00 5.31616695837443e+00 5.33340208764996e+00 5.36618796789924e+00 7.33676004574995e+00 7.35110743732856e+00 3.80132385489603e+01 3.81835056189294e+01 3.83278881998369e+01 3.92811765760869e+01 3.94485366776799e+01 3.95161950453469e+01
6.63704698940638e-02 -2.66717049596881e+00 -2.42078004573126e+00 3.40654273831687e+00 3.43014177002566e+00 3.46555883981696e+00 4.64783634845757e+00 4.66623588118942e+00 5.31684379533664e+00 5.33317468506844e+00 5.36685911040109e+00 7.33328563578776e+00 7.35300695234987e+00 3.79639137021613e+01 3.81530280961421e+01 3.82851508386278e+01 3.92259909717538e+01 3.94150255056815e+01 3.94702599783598e+01
7.74322148764077e-02 -2.66007579671698e+00 -2.41434876083423e+00 3.40730060937007e+00 3.43012910086900e+00 3.46651231159834e+00 4.64476661277554e+00 4.66738630526265e+00 5.31757670528434e+00 5.33290981335531e+00 5.36772635442417e+00 7.32919416182271e+00 7.35522000386164e+00 3.79039912028181e+01 3.81169485072238e+01 3.82368866959058e+01 3.91580832858144e+01 3.93755372268855e+01 3.94194590931290e+01
8.84939598587517e-02 -2.65193070799826e+00 -2.40691810855291e+00 3.40814940000265e+00 3.43011614705683e+00 3.46764443637846e+00 4.64119658349119e+00 4.66875788818844e+00 5.31834551667688e+00 5.33260941160377e+00 5.36881295342588e+00 7.32449078597899e+00 7.35773168598267e+00 3.78331143886750e+01 3.80752408306803e+01 3.81837514905106e+01 3.90772192319374e+01 3.93301307919649e+01 3.93644121157095e+01
9.95557048410956e-02 -2.64274464842973e+00 -2.39848295433744e+00 3.40907710148044e+00 3.43010358943018e+00 3.46896963322056e+00 4.63713862159545e+00 4.67033831978185e+00 5.31912835902106e+00 5.33227568875766e+00 5.37014413050879e+00 7.31918119808846e+00 7.36052551213037e+00 3.77511567676704e+01 3.80278730031836e+01 3.81262119775990e+01 3.89836186458125e+01 3.92788716056240e+01 3.93053412017915e+01
