# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 -5.29382016456143e-11 0.00000000000000e+00 -5.87648941723704e+04 0.00000000000000e+00 -7.39333442339138e+02 0.00000000000000e+00 5.87648941723704e+04 0.00000000000000e+00 1.60465424681592e-11 0.00000000000000e+00 9.27706255227012e+02 0.00000000000000e+00 7.39333442339115e+02 0.00000000000000e+00 -9.27706255227050e+02 0.00000000000000e+00 -2.83268435960864e-11 0.00000000000000e+00
2.00000000000000e-02 -5.29334972463100e-11 -5.41140776690484e-14 -5.91658733177757e+04 7.32294340827455e+02 -7.45443776850282e+02 -1.65229068123854e+02 5.91658733177757e+04 -7.32294340827454e+02 1.60609327666200e-11 -8.55126431137667e-14 9.31013546438402e+02 2.14577480283292e+02 7.45443776850258e+02 1.65229068123853e+02 -9.31013546438439e+02 -2.14577480283291e+02 -2.83315076151379e-11 1.47759880159655e-13
4.00000000000000e-02 -5.29111798088038e-11 -1.10649179063110e-13 -6.06796179352826e+04 1.39397907098099e+03 -7.33031089037933e+02 -3.84042125130031e+02 6.06796179352825e+04 -1.39397907098099e+03 1.61227996553097e-11 -1.78114735359796e-13 9.05081981143517e+02 4.89853856084596e+02 7.33031089037911e+02 3.84042125130031e+02 -9.05081981143554e+02 -4.89853856084595e+02 -2.83709057581883e-11 3.23381427079369e-13
6.00000000000000e-02 -5.28608389613682e-11 -1.46628346950716e-13 -6.36832690044263e+04 9.84681251514976e+02 -6.18582109233409e+02 -6.69374288903092e+02 6.36832690044262e+04 -9.84681251514975e+02 1.62683263993116e-11 -2.34048092169915e-13 7.50256565759881e+02 8.35761574442459e+02 6.18582109233386e+02 6.69374288903091e+02 -7.50256565759920e+02 -8.35761574442458e+02 -2.84982370605912e-11 4.94447046472788e-13
8.00000000000000e-02 -5.28266382497970e-11 -1.31296623132817e-13 -6.69029052523365e+04 -1.86432484228931e+03 -2.92123699889487e+02 -9.19373836162943e+02 6.69029052523364e+04 1.86432484228931e+03 1.64456323907354e-11 -1.57306893274068e-13 3.48985248792385e+02 1.12365127123502e+03 2.92123699889466e+02 9.19373836162942e+02 -3.48985248792427e+02 -1.12365127123501e+03 -2.86778320595842e-11 5.75251304500281e-13
1.00000000000000e-01 -5.28604372422037e-11 -1.37381628965619e-13 -6.83132658880757e+04 -6.34567229012854e+03 1.70628285165140e+02 -8.98258174661209e+02 6.83132658880756e+04 6.34567229012854e+03 1.65098300908026e-11 9.67533480311230e-15 -1.95749677380173e+02 1.09362333202190e+03 -1.70628285165163e+02 8.98258174661207e+02 1.95749677380131e+02 -1.09362333202190e+03 -2.88252447562013e-11 5.96676395629451e-13
1.20000000000000e-01 -5.28606549170318e-11 -2.24630219164425e-13 -6.77961217853282e+04 -1.05547458742141e+04 4.69063674146824e+02 -6.15573679107441e+02 6.77961217853281e+04 1.05547458742141e+04 1.64964748849009e-11 1.15429708612882e-13 -5.49913504238390e+02 7.73856114566649e+02 -4.69063674146846e+02 6.15573679107440e+02 5.49913504238347e+02 -7.73856114566649e+02 -2.89524213540252e-11 5.98582945204534e-13
1.40000000000000e-01 -5.27716710171415e-11 -2.78560334547728e-13 -6.68046481074644e+04 -1.36772435752289e+04 5.36798247400708e+02 -3.15848803044733e+02 6.68046481074644e+04 1.36772435752289e+04 1.65329014326191e-11 1.98920638976522e-13 -6.62055455117486e+02 4.29837125560187e+02 -5.36798247400728e+02 3.15848803044732e+02 6.62055455117444e+02 -4.29837125560186e+02 -2.90523733351185e-11 5.88893492813463e-13
1.60000000000000e-01 -5.27033854359532e-11 -2.42334406732422e-13 -6.63265970601770e+04 -1.69518635365538e+04 4.99079389823096e+02 -1.06426086309360e+02 6.63265970601769e+04 1.69518635365538e+04 1.65805743274406e-11 3.71764305524113e-13 -6.50613581972924e+02 1.44934327597504e+02 -4.99079389823117e+02 1.06426086309360e+02 6.50613581972887e+02 -1.44934327597503e+02 -2.91246418519160e-11 5.98216440200922e-13
1.80000000000000e-01 -5.27395571095368e-11 -2.24173334771010e-13 -6.50339263333455e+04 -2.16288199299458e+04 4.41732490164353e+02 4.92181771941998e+01 6.50339263333455e+04 2.16288199299458e+04 1.65110201494120e-11 6.14725745041712e-13 -5.55035869673140e+02 -9.49572533939716e+01 -4.41732490164376e+02 -4.92181771942004e+01 5.55035869673097e+02 9.49572533939731e+01 -2.92059575261475e-11 6.66820247417168e-13
