#### WannierNLQG band structure
# energy_reference_E_ref_eV = -2.50000000000000000e+00
# energy_convention = ascending_eigenvalues_minus_E_ref
# energy_unit = eV
# distance_A^-1 k1_fractional k2_fractional k3_fractional band_1_minus_E_ref_eV band_2_minus_E_ref_eV band_3_minus_E_ref_eV band_4_minus_E_ref_eV band_5_minus_E_ref_eV band_6_minus_E_ref_eV band_7_minus_E_ref_eV band_8_minus_E_ref_eV band_9_minus_E_ref_eV band_10_minus_E_ref_eV band_11_minus_E_ref_eV band_12_minus_E_ref_eV band_13_minus_E_ref_eV band_14_minus_E_ref_eV band_15_minus_E_ref_eV band_16_minus_E_ref_eV band_17_minus_E_ref_eV band_18_minus_E_ref_eV band_19_minus_E_ref_eV band_20_minus_E_ref_eV band_21_minus_E_ref_eV band_22_minus_E_ref_eV band_23_minus_E_ref_eV band_24_minus_E_ref_eV band_25_minus_E_ref_eV band_26_minus_E_ref_eV band_27_minus_E_ref_eV band_28_minus_E_ref_eV band_29_minus_E_ref_eV band_30_minus_E_ref_eV band_31_minus_E_ref_eV band_32_minus_E_ref_eV
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -1.468952450805079e+01 -1.468952424255358e+01 -1.306147331474575e+01 -1.306147306519949e+01 -8.374580990720277e+00 -8.374580956918940e+00 -5.705109872470972e+00 -5.705109845706660e+00 -4.944869395076577e+00 -4.944869351859459e+00 -4.173412575778245e+00 -4.173412551587744e+00 -3.503140759537755e+00 -3.503140725333709e+00 -2.263272665754783e+00 -2.263272628251195e+00 -2.189954556252527e+00 -2.189954498012120e+00 -8.439492151351335e-01 -8.439491691882171e-01 1.034293390228034e+00 1.034293485304752e+00 2.156343006883376e+00 2.156343031773216e+00 2.688432995670733e+00 2.688433052253130e+00 3.619209559322147e+00 3.619209631942169e+00 4.445664406710633e+00 4.445689928040007e+00 5.377653077241074e+00 5.377653353625647e+00
1.725637665057699e-02 1.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.468878778581012e+01 -1.468869579726415e+01 -1.306113319095668e+01 -1.306091249526576e+01 -8.375218667136481e+00 -8.374953200394737e+00 -5.706832188511934e+00 -5.706690079557053e+00 -4.944184056273189e+00 -4.944150910666771e+00 -4.174308261863481e+00 -4.171546385626014e+00 -3.507600862624715e+00 -3.503565486094899e+00 -2.287025462626960e+00 -2.241767568349579e+00 -2.213527525021874e+00 -2.166959607937136e+00 -8.444922692992445e-01 -8.441897429372567e-01 1.035106831430937e+00 1.035175465897968e+00 2.161656898037795e+00 2.161750300087304e+00 2.683092396770287e+00 2.695276324847355e+00 3.607172912368356e+00 3.621458590252753e+00 4.446236835077976e+00 4.448765560805136e+00 5.370310265344761e+00 5.375639563479604e+00
3.451275330115398e-02 2.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.468648479532137e+01 -1.468630585224644e+01 -1.305989678550186e+01 -1.305945536421212e+01 -8.376880486520207e+00 -8.376336095114389e+00 -5.711860333206161e+00 -5.711577090194446e+00 -4.942095785338387e+00 -4.942026608958464e+00 -4.174274556931554e+00 -4.168699088236657e+00 -3.516853502883523e+00 -3.508806747127485e+00 -2.312207283322410e+00 -2.244142765616115e+00 -2.215994671400363e+00 -2.145314088354649e+00 -8.458237426370800e-01 -8.452171967978881e-01 1.037620100598832e+00 1.037754069612102e+00 2.177394170994177e+00 2.177813054554237e+00 2.678882384200821e+00 2.703565431515100e+00 3.585657300111060e+00 3.614479757052811e+00 4.450189941967674e+00 4.455261914362814e+00 5.353676793329081e+00 5.364471844680974e+00
5.176912995173097e-02 3.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.468261744800446e+01 -1.468235990613671e+01 -1.305777628340066e+01 -1.305711400665305e+01 -8.379592278782550e+00 -8.378744982305962e+00 -5.720205433232183e+00 -5.719782771791426e+00 -4.938604481215396e+00 -4.938493306447616e+00 -4.173384173440094e+00 -4.164890429569629e+00 -3.530660354206672e+00 -3.518633477903995e+00 -2.338701755804223e+00 -2.270913568927856e+00 -2.196693221274396e+00 -2.124992282980234e+00 -8.479560962594350e-01 -8.470430407416130e-01 1.041841636426601e+00 1.042035979708776e+00 2.202939208966836e+00 2.204116535630210e+00 2.675012104135433e+00 2.712778049934201e+00 3.555797417234537e+00 3.599626182558489e+00 4.456885598400428e+00 4.464482428861094e+00 5.328081888780225e+00 5.344601752819282e+00
6.902550660230797e-02 4.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.467719085584844e+01 -1.467686433069263e+01 -1.305479020593426e+01 -1.305390733251646e+01 -8.383385386237293e+00 -8.382205775956407e+00 -5.731887286153624e+00 -5.731327094704580e+00 -4.933709731526080e+00 -4.933547487820666e+00 -4.171744081024748e+00 -4.160172000796065e+00 -3.548660299281318e+00 -3.532662472869813e+00 -2.366425672546661e+00 -2.300218211648664e+00 -2.177250631846409e+00 -2.105851311531739e+00 -8.509090100914261e-01 -8.496869574626875e-01 1.047780737033383e+00 1.048031777665877e+00 2.237455547725899e+00 2.239964434201175e+00 2.670273746907967e+00 2.721857358239323e+00 3.519442823252410e+00 3.578865298089545e+00 4.465435677352023e+00 4.475511299111974e+00 5.294088815918537e+00 5.316688781796467e+00
8.628188325288497e-02 5.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.467021282975136e+01 -1.466982582269156e+01 -1.305096118512764e+01 -1.304985876868384e+01 -8.388289147004445e+00 -8.386748642360734e+00 -5.746935018584923e+00 -5.746238646604141e+00 -4.927411588366276e+00 -4.927186520308871e+00 -4.169499947410660e+00 -4.154631199166772e+00 -3.570393439118245e+00 -3.550376945696391e+00 -2.395267840142289e+00 -2.331038753235037e+00 -2.158378224574443e+00 -2.087707454247287e+00 -8.547086703709379e-01 -8.531764451655675e-01 1.055444117991269e+00 1.055752454376312e+00 2.280005901245513e+00 2.284485175047020e+00 2.663068137432901e+00 2.729121189558555e+00 3.479048794385011e+00 3.554546553577391e+00 4.474931567341628e+00 4.487408329715771e+00 5.252447536072762e+00 5.281545512802280e+00
1.035382599034620e-01 6.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.466169290604483e+01 -1.466125117404671e+01 -1.304631380568979e+01 -1.304499400360523e+01 -8.394324049891855e+00 -8.392400975999944e+00 -5.765387091945955e+00 -5.764554608229471e+00 -4.919711568060392e+00 -4.919410027495869e+00 -4.166843265983305e+00 -4.148399229271291e+00 -3.595317334498649e+00 -3.571146340713531e+00 -2.425075818416442e+00 -2.363063489034239e+00 -2.140026729836098e+00 -2.070367301210231e+00 -8.593867903967145e-01 -8.575459659021765e-01 1.064832804391772e+00 1.065205032165946e+00 2.329665677481802e+00 2.336744980335188e+00 2.651499457490308e+00 2.732197370898985e+00 3.437583939703103e+00 3.529140788818357e+00 4.484608426117726e+00 4.499384192850495e+00 5.204038366040438e+00 5.240079344816378e+00
1.207946365540390e-01 7.000000000000001e-02 0.000000000000000e+00 0.000000000000000e+00 -1.465164102027068e+01 -1.465114721825084e+01 -1.304087307284964e+01 -1.303933920365853e+01 -8.401497314090063e+00 -8.399181572888949e+00 -5.787289926874571e+00 -5.786319537500081e+00 -4.910613685745837e+00 -4.910220990956880e+00 -4.164021711220721e+00 -4.141665282682350e+00 -3.622808201102503e+00 -3.594240734017761e+00 -2.455652618592296e+00 -2.396011653898242e+00 -2.122080687969611e+00 -2.053649216019986e+00 -8.649792816767286e-01 -8.628355070358924e-01 1.075940119137766e+00 1.076388610175866e+00 2.385597109732825e+00 2.395831501730647e+00 2.633586551438386e+00 2.728102688703886e+00 3.398359705828240e+00 3.504937329143605e+00 4.493941217724259e+00 4.510902060287744e+00 5.149817853783635e+00 5.193241982003613e+00
1.380510132046159e-01 8.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.464006618371571e+01 -1.463952057763210e+01 -1.303466401318459e+01 -1.303292027650960e+01 -8.409802059810426e+00 -8.407097490960750e+00 -5.812694587244946e+00 -5.811582414908470e+00 -4.900125198973122e+00 -4.899626292707092e+00 -4.161352437790194e+00 -4.134699516237532e+00 -3.652142885102871e+00 -3.618835994030949e+00 -2.486758360904407e+00 -2.429580235959730e+00 -2.104429736601738e+00 -2.037398036204332e+00 -8.715246212743200e-01 -8.690885831822324e-01 1.088750984753229e+00 1.089292547378376e+00 2.447057357145299e+00 2.460853941510294e+00 2.607620523358706e+00 2.713652213026976e+00 3.364591464482431e+00 3.483693862752773e+00 4.502675786338456e+00 4.521705471513803e+00 5.090778200582699e+00 5.141996663712544e+00
1.553073898551929e-01 9.000000000000000e-02 0.000000000000000e+00 0.000000000000000e+00 -1.462697561502358e+01 -1.462637703572499e+01 -1.302771265785149e+01 -1.302576356270038e+01 -8.419220295073206e+00 -8.416144299376464e+00 -5.841651372108688e+00 -5.840391748092056e+00 -4.888256795371806e+00 -4.887636606678772e+00 -4.159236081112402e+00 -4.127887382015263e+00 -3.682461476996680e+00 -3.644010834932194e+00 -2.518116329970503e+00 -2.463441524081732e+00 -2.086986575178599e+00 -2.021492259139141e+00 -8.790621578713700e-01 -8.763499221272730e-01 1.103242680730917e+00 1.103897699368320e+00 2.513317159530559e+00 2.530270490215393e+00 2.573168340220928e+00 2.686291450726729e+00 3.338589799861915e+00 3.466307157330067e+00 4.510807791953713e+00 4.531784917753543e+00 5.027930053535052e+00 5.087309847412652e+00
