# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 2.25845933814595e+05 0.00000000000000e+00 -3.23249498029391e+02 0.00000000000000e+00 1.34698860399770e+03 0.00000000000000e+00 -3.23249498029499e+02 0.00000000000000e+00 2.25865453187419e+05 0.00000000000000e+00 -8.64024205557913e+02 0.00000000000000e+00 1.34698860399769e+03 0.00000000000000e+00 -8.64024205557891e+02 0.00000000000000e+00 2.28600992877704e+05 0.00000000000000e+00
2.00000000000000e-02 2.34348591325785e+05 -2.28074097271625e+04 -3.07644965690032e+02 4.46733958715777e+01 1.22656407617833e+03 7.46823531481434e+02 -3.07644965690132e+02 4.46733958715771e+01 2.34377056947189e+05 -2.28295062894405e+04 -8.79589953763304e+02 7.69233992946737e+01 1.22656407617833e+03 7.46823531481439e+02 -8.79589953763274e+02 7.69233992946644e+01 2.39336102478163e+05 -3.07457652353854e+04
4.00000000000000e-02 2.52607844128306e+05 -3.27047552812085e+04 -3.82296116167385e+02 1.89645361723438e+02 5.90493028181416e+02 1.46309226198425e+03 -3.82296116167481e+02 1.89645361723440e+02 2.52658258511429e+05 -3.27374615225836e+04 -1.07408070550245e+03 2.04369611956998e+02 5.90493028181404e+02 1.46309226198425e+03 -1.07408070550243e+03 2.04369611956978e+02 2.65331358510494e+05 -4.65574227057361e+04
6.00000000000000e-02 2.68143904518515e+05 -2.82922040520017e+04 -7.09709277628058e+02 1.80541726056566e+02 -4.38550495760713e+02 1.51142920617263e+03 -7.09709277628145e+02 1.80541726056563e+02 2.68217668011040e+05 -2.83276805382793e+04 -1.51656251477750e+03 1.33428942758788e+01 -4.38550495760709e+02 1.51142920617265e+03 -1.51656251477746e+03 1.33428942758519e+01 2.92011379977620e+05 -4.09100506188248e+04
8.00000000000000e-02 2.72957443794040e+05 -1.60335570497026e+04 -9.14833257310387e+02 -1.97583328848055e+02 -1.08730434221368e+03 9.01098572939732e+02 -9.14833257310484e+02 -1.97583328848054e+02 2.73068713896993e+05 -1.60659425532210e+04 -1.64335610090300e+03 -6.31742534859401e+02 -1.08730434221370e+03 9.01098572939763e+02 -1.64335610090298e+03 -6.31742534859439e+02 3.03962085775530e+05 -1.97416491773748e+04
1.00000000000000e-01 2.65185899674046e+05 -4.08632399752416e+03 -7.34265278901384e+02 -6.02964476540249e+02 -1.15264505006142e+03 2.39596508497765e+02 -7.34265278901502e+02 -6.02964476540262e+02 2.65333622718024e+05 -4.08227873013738e+03 -1.21631245827565e+03 -1.13393219381149e+03 -1.15264505006145e+03 2.39596508497812e+02 -1.21631245827561e+03 -1.13393219381154e+03 2.95365571131299e+05 2.46116142007706e+03
1.20000000000000e-01 2.47196899816525e+05 -9.60214195471935e+02 -3.75730685763648e+02 -7.18724242465326e+02 -9.39103219194254e+02 -1.53766401286563e+02 -3.75730685763756e+02 -7.18724242465357e+02 2.47354160461998e+05 -9.27746416436631e+02 -7.16846977927549e+02 -1.18469077678828e+03 -9.39103219194282e+02 -1.53766401286517e+02 -7.16846977927472e+02 -1.18469077678830e+03 2.71727865954378e+05 1.09511341060143e+04
1.40000000000000e-01 2.28417848793185e+05 -1.12280766609932e+04 -1.35836572632912e+02 -6.07628248201426e+02 -6.92161471423355e+02 -3.19329822925339e+02 -1.35836572633016e+02 -6.07628248201470e+02 2.28628357494802e+05 -1.11827127214331e+04 -4.13563441849153e+02 -1.04694550638220e+03 -6.92161471423394e+02 -3.19329822925293e+02 -4.13563441849086e+02 -1.04694550638224e+03 2.48456448545932e+05 1.45073892813329e+03
1.60000000000000e-01 2.17727898310780e+05 -3.06313426963371e+04 -6.84414186320764e+01 -4.75833600695993e+02 -5.16185264246008e+02 -3.37732787859369e+02 -6.84414186321649e+01 -4.75833600696026e+02 2.18057433359829e+05 -3.04657834187245e+04 -2.65814559339204e+02 -8.85469444043899e+02 -5.16185264246070e+02 -3.37732787859319e+02 -2.65814559339118e+02 -8.85469444043928e+02 2.35658900903518e+05 -1.81722158791635e+04
1.80000000000000e-01 2.17777450257833e+05 -5.00093533214021e+04 -7.05141656337790e+01 -4.27852353373003e+02 -4.43370640316907e+02 -3.33692679367779e+02 -7.05141656338534e+01 -4.27852353373037e+02 2.18055312005849e+05 -4.95085128446868e+04 -2.08113774689872e+02 -7.71053823421023e+02 -4.43370640316990e+02 -3.33692679367737e+02 -2.08113774689757e+02 -7.71053823421052e+02 2.35093106027866e+05 -3.70127811431443e+04
