# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.22507045753329e+07 0.00000000000000e+00 -6.24075623699623e+04 0.00000000000000e+00 -3.76546441299548e+03 0.00000000000000e+00 6.16868970049066e+04 0.00000000000000e+00 1.22624559757339e+07 0.00000000000000e+00 3.74830831881146e+03 0.00000000000000e+00 -3.98551319347144e+03 0.00000000000000e+00 3.82919264764715e+03 0.00000000000000e+00 1.21912838926427e+07 0.00000000000000e+00
2.00000000000000e-02 1.06006060409105e+07 4.12369557010674e+06 -6.20164107669940e+04 -1.18563182156420e+03 -3.18490517350786e+03 -1.00016696047639e+03 6.13371843106169e+04 1.24940400330774e+03 1.06107481970735e+07 4.12771894976107e+06 3.10041929121656e+03 1.65903434527158e+03 -3.36623806591534e+03 -1.10789453327219e+03 3.16242612675499e+03 1.70362258351669e+03 1.05519937746894e+07 4.09431730364909e+06
4.00000000000000e-02 7.58483872310288e+06 5.83307994789845e+06 -6.18734931167664e+04 -1.19550292825027e+03 -2.54348763386963e+03 -1.00203398578282e+03 6.10636774887022e+04 1.53861493511276e+03 7.59204272347880e+06 5.83877011045131e+06 1.75555621740439e+03 2.44192127595676e+03 -2.64440119663418e+03 -1.16688139974277e+03 1.77039784572218e+03 2.50611032726215e+03 7.55965019983061e+06 5.78889765035035e+06
6.00000000000000e-02 5.19636465923913e+06 5.88557270161274e+06 -6.36772055741853e+04 -1.25415485271084e+03 -2.57302624017762e+03 -9.64605627965388e+02 6.22273909660616e+04 1.57876304138268e+03 5.20124657069402e+06 5.89130700268130e+06 4.11343316028281e+02 2.28130664626074e+03 -2.58479393759860e+03 -1.14939898319605e+03 3.69281399324965e+02 2.32187883618056e+03 5.19475027332393e+06 5.84237662139674e+06
8.00000000000000e-02 3.65072672511941e+06 5.38839729307088e+06 -6.62129147462512e+04 -3.50087671578492e+03 -2.60057481744680e+03 -1.37156456775454e+03 6.43624149819121e+04 3.07237685853982e+03 3.65413346742129e+06 5.39363766308565e+06 -3.03332781301780e+02 1.47942168482349e+03 -2.50800993845913e+03 -1.52060000073101e+03 -3.69461056016044e+02 1.43936262863735e+03 3.66426627110278e+06 5.35674504734622e+06
1.00000000000000e-01 2.67015762797771e+06 4.80585713260979e+06 -6.73696785125933e+04 -7.30111756824230e+03 -2.26448001031689e+03 -1.82767515840200e+03 6.58863146809908e+04 6.06552206756360e+03 2.67265172722732e+06 4.81055393028846e+06 -2.91722839186726e+02 7.86606479737023e+02 -2.12980105269833e+03 -1.87111375038718e+03 -2.79792201848758e+02 6.67748883670575e+02 2.68790215108430e+06 4.78753432132607e+06
1.20000000000000e-01 2.02602214264468e+06 4.26822036859209e+06 -6.69569978061548e+04 -1.10076267882261e+04 -1.76087490307355e+03 -2.02243741395462e+03 6.61945650782667e+04 9.54384704803006e+03 2.02791488864935e+06 4.27241800123320e+06 -8.73697373027350e+01 5.09521364991358e+02 -1.66244319425916e+03 -1.99336337008453e+03 3.02363402609569e+01 4.24842422582630e+02 2.04135551384861e+06 4.25805748905216e+06
1.40000000000000e-01 1.58869597566177e+06 3.79755067857105e+06 -6.61244139864333e+04 -1.39414784258778e+04 -1.31648885229535e+03 -2.00321758900728e+03 6.58443509804212e+04 1.27027303193857e+04 1.59023362022630e+06 3.80131202292677e+06 3.87030357168805e+01 4.30809794901908e+02 -1.24939006503765e+03 -1.94379878540618e+03 1.86834037324540e+02 4.22758271203867e+02 1.60170112046505e+06 3.79053582030166e+06
1.60000000000000e-01 1.28755517958465e+06 3.39281595738005e+06 -6.55986610563626e+04 -1.71019562851617e+04 -9.98380506192898e+02 -1.87780851056013e+03 6.54551797876930e+04 1.61291741032724e+04 1.28892847629101e+06 3.39632155396106e+06 7.29014550498044e+01 4.14253008698311e+02 -9.63256464866988e+02 -1.77130968137599e+03 2.23365278369690e+02 4.64074829925070e+02 1.29995453255521e+06 3.38757380540624e+06
1.80000000000000e-01 1.07915700910585e+06 3.05095705853146e+06 -6.42214022594288e+04 -2.13995813326495e+04 -7.85513808947539e+02 -1.75457275031371e+03 6.40750611510124e+04 2.05247506281677e+04 1.08027526347766e+06 3.05448331245383e+06 5.74260389243157e+01 3.68640747670069e+02 -8.49433403954253e+02 -1.60635396458759e+03 1.92933043327863e+02 4.88963479361208e+02 1.09201881518009e+06 3.04791977180485e+06
2.00000000000000e-01 9.29388411620729e+05 2.76745144510154e+06 -6.02187187363497e+04 -2.56134610559528e+04 -5.97979976095336e+02 -1.62507267631456e+03 6.01435546930498e+04 2.47120550708129e+04 9.29888947636568e+05 2.77083466991349e+06 6.64446433072382e+01 3.09354597371107e+02 -8.05720053197974e+02 -1.56042851046392e+03 1.35819614184807e+02 4.86873681725500e+02 9.41966306115326e+05 2.76811498912747e+06
2.20000000000000e-01 8.11905016447540e+05 2.52844831589831e+06 -5.44405025343359e+04 -2.66887036419259e+04 -5.06325055547570e+02 -1.46618596547788e+03 5.45384809001673e+04 2.58507312046089e+04 8.12083077147589e+05 2.53121783541844e+06 6.60153916306954e+01 2.74896612769488e+02 -7.02269800903912e+02 -1.59584699829360e+03 6.45435727849834e+01 4.45549959166085e+02 8.21721192296022e+05 2.53202932436763e+06
2.40000000000000e-01 7.18022235200146e+05 2.31700367202764e+06 -5.06428890582436e+04 -2.46879509274863e+04 -4.72835408166226e+02 -1.41389141248719e+03 5.07912546697710e+04 2.40186003750401e+04 7.18290249992372e+05 2.31944534101342e+06 5.31430424194251e+01 2.01058119886978e+02 -5.21902547668851e+02 -1.60968211911138e+03 2.78417075769182e+01 3.72682485937384e+02 7.25196084631165e+05 2.32114686679343e+06
2.60000000000000e-01 6.49232452187609e+05 2.12740571575425e+06 -4.97651393753612e+04 -2.29495066159774e+04 -3.49795410089587e+02 -1.41852913145030e+03 4.98434492335314e+04 2.23345433335698e+04 6.49434576453479e+05 2.12976671114393e+06 1.11871352529847e+02 9.69975549998580e+01 -3.05498452534698e+02 -1.57117808206801e+03 1.22025343892686e+01 3.03526231554608e+02 6.54726143938947e+05 2.13189708930966e+06
2.80000000000000e-01 6.02739756586242e+05 1.96457144580408e+06 -4.94530434970605e+04 -2.32077159217444e+04 -1.28749058535374e+02 -1.33490930384829e+03 4.95543072035063e+04 2.25185877917633e+04 6.02684986718490e+05 1.96673248191273e+06 2.61119628660638e+02 8.23777168814809e+01 -5.33621931825580e+01 -1.42941847187631e+03 2.31937667456125e+01 2.27636930988347e+02 6.06127568916242e+05 1.96910117652946e+06
3.00000000000000e-01 5.63506471421852e+05 1.82966135139752e+06 -4.76461915514905e+04 -2.38800602536300e+04 5.52317066544949e+01 -1.05620547266624e+03 4.79008383820692e+04 2.32027187263686e+04 5.63416826424249e+05 1.83130682105595e+06 3.39291479161097e+02 2.10755570199269e+02 1.17242035941841e+02 -1.12219755219480e+03 7.95312882849482e+01 1.81032581669711e+02 5.65195684202820e+05 1.83301877617459e+06
3.20000000000000e-01 5.22318621309644e+05 1.70650231882983e+06 -4.56899068215223e+04 -2.28913733772378e+04 -3.06583346992565e+01 -6.73230497550030e+02 4.60129756037620e+04 2.23577060597082e+04 5.22631651862155e+05 1.70796498627422e+06 2.58960445656143e+02 3.19937628276431e+02 4.92767757539251e+01 -7.51086431507737e+02 1.02256421783859e+02 2.15031042327541e+02 5.23475618942452e+05 1.70820760172992e+06
3.40000000000000e-01 4.90070621361056e+05 1.58580617597318e+06 -4.55260429791172e+04 -2.15769225280220e+04 -3.54465967517000e+02 -4.92424289359184e+02 4.58092464383403e+04 2.11122151955352e+04 4.90528540617772e+05 1.58747953933820e+06 1.52833393957646e+02 2.89961018260673e+02 -2.28796214755548e+02 -5.34525324168824e+02 4.07369736952987e+01 1.92415057510433e+02 4.91987418393000e+05 1.58618993205037e+06
3.60000000000000e-01 4.71713899673521e+05 1.47456958768849e+06 -4.61754321577259e+04 -2.16629529979328e+04 -6.93446267005960e+02 -5.44807494970990e+02 4.64424680641428e+04 2.12397621999200e+04 4.72045420144257e+05 1.47642128689764e+06 1.43945784202050e+02 2.28159765094265e+02 -5.66328980262864e+02 -5.22213784754982e+02 3.64966862827425e+01 1.12775970490630e+02 4.75089358860181e+05 1.47505114819283e+06
3.80000000000000e-01 4.63111868862614e+05 1.37672705514958e+06 -4.61783848812807e+04 -2.30301182940982e+04 -9.94313535437883e+02 -8.17801024303590e+02 4.63447730427235e+04 2.25653368874047e+04 4.63152345498180e+05 1.37862672337347e+06 1.19357547157200e+02 2.18901694488635e+02 -9.05794707986564e+02 -7.44872432061401e+02 3.15011906311008e+01 4.51466884321358e+01 4.66950091477623e+05 1.37851058126519e+06
4.00000000000000e-01 4.59366966269098e+05 1.29270178828328e+06 -4.46620680320953e+04 -2.45931616934498e+04 -1.06442994394051e+03 -1.37091694324487e+03 4.48952156919606e+04 2.38882142043407e+04 4.59097827326639e+05 1.29439310382217e+06 6.38399313640825e+01 1.02031682733464e+02 -1.03310837144770e+03 -1.28205836961615e+03 6.75286335061970e+01 -1.34064514288622e+02 4.62823674020531e+05 1.29558820229463e+06
4.20000000000000e-01 4.56666151119708e+05 1.21981016764927e+06 -4.20427814575886e+04 -2.48508576836425e+04 -5.45326724892284e+02 -1.88944838766422e+03 4.26663667567644e+04 2.40392276217785e+04 4.56305367095075e+05 1.22116411680640e+06 2.12593961824495e+02 -7.35609604325897e+01 -5.76932607676771e+02 -1.81614053102156e+03 3.70982625615924e+02 -2.83240511782824e+02 4.59060065102275e+05 1.22396918323038e+06
4.40000000000000e-01 4.53067933555165e+05 1.15508498584728e+06 -3.99013546792729e+04 -2.31284061481752e+04 1.36103450471728e+02 -1.69207885160067e+03 4.09658361781517e+04 2.26223065793198e+04 4.52759131977541e+05 1.15618965327482e+06 5.02554429402382e+02 3.44447466591307e+00 5.81767675153184e+01 -1.69901472095498e+03 7.53432460568314e+02 -3.16234590193365e+01 4.53063915511696e+05 1.15943359988350e+06
4.60000000000000e-01 4.48684361371936e+05 1.09420568280627e+06 -4.02064796973616e+04 -2.06118456647832e+04 2.78742646032604e+02 -1.29108404417200e+03 4.13064697107590e+04 2.07210252553721e+04 4.48439486277263e+05 1.09509508476312e+06 5.58140999489295e+02 3.13112726688823e+02 2.65348637172448e+02 -1.39715803364328e+03 6.98957725453473e+02 4.42040502147719e+02 4.46873735432707e+05 1.09651436135073e+06
4.80000000000000e-01 4.47384131935357e+05 1.03587670674436e+06 -4.24931525159660e+04 -2.02626482149708e+04 3.04132337074423e+02 -1.05532620169411e+03 4.31809853456750e+04 2.07122864013135e+04 4.47335089489342e+05 1.03654694603189e+06 3.64043950336596e+02 4.66202786791345e+02 4.14340309619596e+02 -1.14431480971925e+03 3.61138735907111e+02 5.80047838469651e+02 4.46484284798872e+05 1.03570809715316e+06
