# distance_A^-1 tb_band_1_absolute_eV tb_band_2_absolute_eV tb_band_3_absolute_eV tb_band_4_absolute_eV tb_band_5_absolute_eV tb_band_6_absolute_eV tb_band_7_absolute_eV tb_band_8_absolute_eV tb_band_9_absolute_eV tb_band_10_absolute_eV tb_band_11_absolute_eV tb_band_12_absolute_eV tb_band_13_absolute_eV tb_band_14_absolute_eV tb_band_15_absolute_eV tb_band_16_absolute_eV tb_band_17_absolute_eV tb_band_18_absolute_eV
0.00000000000000e+00 -2.68725715047511e+00 -2.43859074421333e+00 3.40438161340999e+00 3.43018517772796e+00 3.46300902105493e+00 4.65572608887295e+00 4.66398363535210e+00 5.31414315549023e+00 5.33392941972716e+00 5.36517395188412e+00 7.34470807801512e+00 7.34672677397445e+00 3.81182762208122e+01 3.82524630582446e+01 3.84339211073328e+01 3.93919025427811e+01 3.95249245926686e+01 3.96378071031339e+01
1.10617452285023e-02 -2.68661446252334e+00 -2.43808337724609e+00 3.40442958084641e+00 3.43018339381831e+00 3.46309120497117e+00 4.65551828418686e+00 4.66395458393143e+00 5.31433217781057e+00 5.33390827056418e+00 5.36510423022155e+00 7.34439262605669e+00 7.34688736568620e+00 3.81147467677319e+01 3.82497582170190e+01 3.84289417037346e+01 3.93894711111773e+01 3.95219017293066e+01 3.96308109953414e+01
2.21234904570045e-02 -2.68488403889080e+00 -2.43659356557283e+00 3.40460717341114e+00 3.43017916683893e+00 3.46330460270049e+00 4.65494240743967e+00 4.66401141361716e+00 5.31463626222167e+00 5.33384436467473e+00 5.36516248083390e+00 7.34343503240880e+00 7.34741383910805e+00 3.81027862087808e+01 3.82415173954880e+01 3.84154454659207e+01 3.93776971051637e+01 3.95127315166315e+01 3.96145158672763e+01
3.31852356855068e-02 -2.68206921653577e+00 -2.43412043027746e+00 3.40491208274774e+00 3.43017262347436e+00 3.46365211586434e+00 4.65393060947454e+00 4.66422295246309e+00 5.31504977701485e+00 5.33373814343801e+00 5.36535516859763e+00 7.34183936553966e+00 7.34829993089142e+00 3.80821547071648e+01 3.82277351822080e+01 3.83937440268546e+01 3.93561841306610e+01 3.94974288978336e+01 3.95894095278967e+01
4.42469809140091e-02 -2.67817461825369e+00 -2.43066226379585e+00 3.40534034586159e+00 3.43016398449689e+00 3.46413868241242e+00 4.65242325061903e+00 4.66464961066099e+00 5.31556397093834e+00 5.33359036269112e+00 5.36569241226047e+00 7.33961274064156e+00 7.34953461246009e+00 3.80524702473078e+01 3.82084022991675e+01 3.83643383350986e+01 3.93242878373815e+01 3.94760190266321e+01 3.95562881740455e+01
5.53087261425113e-02 -2.67320606985595e+00 -2.42621655776636e+00 3.40588633201922e+00 3.43015356427970e+00 3.46477126784048e+00 4.65039223958386e+00 4.66532004876887e+00 5.31616695837447e+00 5.33340208764984e+00 5.36618796789925e+00 7.33676004574902e+00 7.35110743732940e+00 3.80132385489614e+01 3.81835056189291e+01 3.83278881998360e+01 3.92811765760889e+01 3.94485366776809e+01 3.95161950453443e+01
6.63704713710136e-02 -2.66717049596868e+00 -2.42078004573124e+00 3.40654273831694e+00 3.43014177002510e+00 3.46555883981703e+00 4.64783634845748e+00 4.66623588118937e+00 5.31684379533669e+00 5.33317468506831e+00 5.36685911040111e+00 7.33328563578681e+00 7.35300695235073e+00 3.79639137021627e+01 3.81530280961414e+01 3.82851508386268e+01 3.92259909717559e+01 3.94150255056828e+01 3.94702599783569e+01
7.74322165995159e-02 -2.66007579671688e+00 -2.41434876083418e+00 3.40730060937016e+00 3.43012910086832e+00 3.46651231159842e+00 4.64476661277549e+00 4.66738630526258e+00 5.31757670528441e+00 5.33290981335516e+00 5.36772635442420e+00 7.32919416182179e+00 7.35522000386242e+00 3.79039912028197e+01 3.81169485072230e+01 3.82368866959050e+01 3.91580832858164e+01 3.93755372268872e+01 3.94194590931260e+01
8.84939618280181e-02 -2.65193070799816e+00 -2.40691810855288e+00 3.40814940000278e+00 3.43011614705605e+00 3.46764443637857e+00 4.64119658349123e+00 4.66875788818836e+00 5.31834551667694e+00 5.33260941160361e+00 5.36881295342591e+00 7.32449078597807e+00 7.35773168598335e+00 3.78331143886768e+01 3.80752408306792e+01 3.81837514905099e+01 3.90772192319391e+01 3.93301307919669e+01 3.93644121157066e+01
9.95557070565204e-02 -2.64274464842976e+00 -2.39848295433737e+00 3.40907710148057e+00 3.43010358942928e+00 3.46896963322068e+00 4.63713862159549e+00 4.67033831978170e+00 5.31912835902113e+00 5.33227568875748e+00 5.37014413050881e+00 7.31918119808757e+00 7.36052551213104e+00 3.77511567676724e+01 3.80278730031822e+01 3.81262119775985e+01 3.89836186458137e+01 3.92788716056264e+01 3.93053412017887e+01
